posting_title,category,publication_date,publication_language,description_paragraph,description_list,status,workspace_id
Accord-cadre sur catalogue : fourniture de matériaux pour le bâtiment (2024 - 2028)  Marché conjoint Ville - CPAS,Matériaux de construction,2024-07-01T00:00:45.357473,FR,Accord-cadre sur catalogue : fourniture de matériaux pour le bâtiment (2024 - 2028)  Marché conjoint Ville - CPAS,"['Ferronnerie', 'Matériaux de construction']",ACTIVE,c58d5beb-ba45-4118-af63-08ef0b908bed
ATE-2024-02 - 1,Services de vente au détail,2024-07-01T00:00:45.045646,FR,"La Concession a pour objet l'exploitation de deux marchés existants, et ce, aux risques et périls du Concessionnaire.",['Services de vente au détail'],ACTIVE,3126b324-2f26-42ad-8f59-4ad23880b118
Accord-cadre - Travaux d'enduits et de peintures,Travaux de peinture,2024-07-01T00:00:45.384152,FR,Accord-cadre - Travaux d'enduits et de peintures,['Travaux de peinture'],ACTIVE,8b7cdbf0-aef5-4ce4-bca1-a75e0d064350
DAS2024-022 - 1,Appareils photographiques,2024-06-30T21:06:45.044206,FR,Le présent marché public de fournitures pour le Service d’Incendie et d’Aide Médicale Urgente (SIAMU) de la Région de Bruxelles-Capitale porte sur l'achat de 9 systèmes de caméras optiques/thermiques pour auto échelles avec licences utilisateurs et service après-vente afférents.  Le marché public comporte 3 postes :  Poste 1 : Achat de 9 systèmes de caméras optiques/thermiques pour auto-échelles ; Poste 2 : Acquisition des licences pour l'utilisation des 9 systèmes de caméras ; Poste 3 : Prestation d'un service après-vente (après la période de garantie).,"[""Équipement de sécurité, de lutte contre l'incendie, de police et de défense""]",ACTIVE,37db51e1-d411-4d66-b1ea-053050bddabc
Lot 3 - Ascenseur - Electricité,Travaux de construction de bâtiments,2024-06-30T23:18:45.041503,FR,"Le projet consiste en la construction d’une nouvelle crèche permettant d’accueillir 4 services pour un total de 49 lits. Il s’implante rue de l’enseignement à 4624 Romsée (Fléron), à proximité directe des écoles maternelles et primaires. Ce projet (PRW/PNRR – réf : LI/LI/000129) fait partie des projets subsidiés dans le cadre du « Plan Cigogne +5200 » lancé conjointement par l’ONE et la Région Wallonne afin de répondre au manque conséquent de places d’accueil pour les nouveau-nés. Il s’agit donc de la construction d’un nouveau bâtiment et de ses abords. Un parking communal sera concomitamment aménagé sur le terrain adjacent (hors marché).  Visite des lieux :  Une visite des lieux est organisée préalablement à la remise des offres. La visite des lieux est obligatoire sous peine de nullité de l’offre. les visites auront lieu avec Mr. Gilles Giraudet , architecte, pour Helium3 SRL le 25 Juin 2024 à 9h. La présence des candidats aux visites est à confirmer auprès de Mr. Gilles Giraudet par téléphone : 04 285 93 87 ou e-mail : ggiraudet@helium3.be  Une deuxième visite est organisée pour les entreprises n'ayant pas pu participer à celle du 25 Juin 2024. Cette nouvelle visite aura lieu le jeudi 04 juillet 2024 à 09h00. La présence des candidats aux visites est à confirmer auprès de Mr. Gilles Giraudet par téléphone : 04 285 93 87 ou e-mail : ggiraudet@helium3.be ","['Travaux de construction', 'Travaux de construction de bâtiments']",ACTIVE,13ba2d82-90b2-4eef-94a4-1b0d4cdab006
het leveren en plaatsen van een aansluitbare  en werkende hoogspanningscabine  ,Aanleg van elektriciteit,2024-06-04T18:33:45.066653,NL,"Leveren, plaatsen, aansluiten en in bedrijf stellen van een  hoogspanningscabine.",['Aanleg van elektriciteit'],ACTIVE,65e28fe4-4dbf-4dda-aea7-d7f30ce6e2e2
Travaux voiries Plan Investissement - PIC/PIMACI 2022-2024  (Investissement N°2024-04) – Aménagements de voirie Route de Beaumont (phase 2) - Projet 20230037- -1.811.111,Travaux de construction d'égouts,2024-06-28T15:56:45.044521,FR,"Travaux voiries Plan Investissement - PIC/PIMACI 2022-2024  (Investissement N°2024-04) – Aménagements de voirie Route de Beaumont (phase 2) - Projet 20230037- -1.811.111 Les travaux seront à réaliser sur une voirie du réseau IIIa et ils comprennent notamment : - Tous les travaux, prestations, fournitures et sujétions nécessaires à la construction complète de la voirie, des trottoirs et du chemin partagé (division 1, 2 et 3 du métré) comprenant : - Les travaux de sciage du revêtement en dalle de béton existante recouvert d’asphalte en voirie pour permettre la pose des éléments linéaires coulés en place ; - Les travaux de sciage du revêtement bitumineux en voirie pour permettre la pose des éléments linéaires coulés en place ; - Les travaux de démontage des accotements enherbés/revêtus ; - Les travaux de démontage des dalles en béton de voirie et des revêtements bitumineux;  - Les travaux de démolition des éléments linéaires ; - Les terrassements en déblai jusqu’au fond de coffre des nouveaux trottoirs et de la voirie, - La pose de nouveaux éléments linéaires coulé en place, à réaliser en deux phases; - La mise en œuvre des fondations des trottoirs ; - La mise en œuvre de revêtements bitumineux pour le chemin partagé; - La mise en œuvre de revêtements en pavés béton en trottoir , - La fourniture et pose d’avaloirs avec les raccordements à l’égout ; - La mise en œuvre d’une sous-fondation et fondation en empierrement non lié en fondation de voirie , - La pose de deux couches de revêtements bitumineux en voirie, - Les travaux de marquages routier.   Les travaux seront à réaliser sur une voirie du réseau IIIa et ils comprennent notamment : - Tous les travaux, prestations, fournitures et sujétions nécessaires à la construction complète de la voirie, des trottoirs et du chemin partagé (division 1, 2 et 3 du métré) comprenant : - Les travaux de sciage du revêtement en dalle de béton existante recouvert d’asphalte en voirie pour permettre la pose des éléments linéaires coulés en place ; - Les travaux de sciage du revêtement bitumineux en voirie pour permettre la pose des éléments linéaires coulés en place ; - Les travaux de démontage des accotements enherbés/revêtus ; - Les travaux de démontage des dalles en béton de voirie et des revêtements bitumineux;  - Les travaux de démolition des éléments linéaires ; - Les terrassements en déblai jusqu’au fond de coffre des nouveaux trottoirs et de la voirie, - La pose de nouveaux éléments linéaires coulé en place, à réaliser en deux phases; - La mise en œuvre des fondations des trottoirs ; - La mise en œuvre de revêtements bitumineux pour le chemin partagé , - La mise en œuvre de revêtements en pavés béton en trottoir ,  - La fourniture et pose d’avaloirs avec les raccordements à l’égout ; - La mise en œuvre d’une sous-fondation et fondation en empierrement non lié en fondation de voirie , - La pose de deux couches de revêtements bitumineux en voirie, - Les travaux de marquages routier. Remarque importante : La Route de Beaumont constitue un axe très important au sein de la commune. C’est pourquoi, nous attirons spécialement l’attention de l’entrepreneur de bien tenir compte dans son offre de prix le phasage du chantier (4 phases au total), largement décrit à l’article 79 (Organisation de chantier) du présent CSC.","[""Travaux de construction d'égouts""]",ACTIVE,07041d53-c542-4ed0-8ea9-a1386dd769ff
Travaux voiries Plan Investissement - PIC/PIMACI 2022-2024 (Investissement N°2024-05) - Aménagements de voirie Rue Al Gatte - Projet 20230038 - -1.811.111,Travaux de réparation de routes,2024-06-28T16:36:45.043226,FR,"Travaux voiries Plan Investissement - PIC/PIMACI 2022-2024 (Investissement N°2024-05) - Aménagements de voirie Rue Al Gatte - Projet 20230038- -1.811.111 Les travaux seront à réaliser sur une voirie du réseau IIIa et ils comprennent notamment les travaux de : Les ouvrages faisant partie de la présente entreprise comprennent en ordre principal l'exécution des travaux suivants : - Les travaux de sciage, de fraisage et de démolition du revêtement hydrocarboné ; - La démolition de revêtement en pavés de pierre naturelle ; - Les travaux de démolition de revêtement de terre-pleins existants en pavés de béton, en hydrocarboné et en matériaux non stabilisés ; - Les travaux de démolition des éléments linéaires ; - Les terrassements en déblai jusqu’au fond de coffre de la voirie ; - La pose de nouveaux éléments linéaires préfabriqués ; - La fourniture et pose d’avaloirs avec les raccordements, - Le reprofilage du fond de coffre et la mise en œuvre d’une sous-fondation granulaire type II ; - La mise en œuvre d’une fondation en empierrement et en béton maigre ;  - La pose de deux couches de revêtements bitumineux en voirie ; - La pose de revêtements en pavés de pierre naturelle ; - La pose de pavés de béton en accotement ; - La réalisation de marquages ; - La pose de mobilier urbain. Les travaux décrits ci-dessus ne sont pas exhaustifs, le détail des travaux est repris dans les clauses techniques et le métré récapitulatif annexés au présent cahier des charges. ",['Travaux de réparation de routes'],ACTIVE,85fc918a-9766-40b9-ba06-d90dd9727980
Sint-Niklaas - Provinciaal domein De Ster : Hoogspanningsklantencabine Lange Rekstraat ,Hoogspanningsinstallaties,2024-06-29T00:00:45.121973,NL,Bouwen van een hoogspanningscabine ten einde de huidige laagspanningsaansluitingen af te bouwen. ,"['Bouwwerkzaamheden voor hoogspanningsleidingen', 'Hoogspanningsinstallaties']",ACTIVE,cee8124e-cdb1-4258-8948-674511ebd002
Valentijnsverlichting,"Cultuur-, sport- en recreatiediensten",2024-06-29T00:00:45.15224,NL,Kerstverlichting: - Overspanning van straten - Boomverlichting  Valentijnverlichting: - Boomverlichting,"['Cultuur-, sport- en recreatiediensten']",ACTIVE,3f407c3e-0ea4-4783-a1b5-8a3951c2bff6
Aanbrengen wegmarkeringen 2024,Aanbrengen van wegmarkeringen,2024-06-29T00:00:45.086201,NL,Schilderen van wegmarkeringen. Dienstjaar 2024.,['Aanbrengen van wegmarkeringen'],ACTIVE,38437624-96a4-4dba-86c6-db3adecc3319
Vervangen van ramen + screens van de balletklas in de Centrumschool Beveren,Plaatsen van ramen,2024-06-29T00:00:45.05001,NL,Vervangen van ramen + screens van de balletklas in de Centrumschool Beveren,['Plaatsen van ramen'],ACTIVE,a4bc3894-08ac-4216-811e-c46d3ebe8c6c
KODID-KRH-240627 - 1,"Dienstverlening op het gebied van architectuur, bouwkunde, civiele techniek en inspectie",2024-06-28T15:03:45.042589,NL,"De huidige school gelegen te Ravesteinstraat 2, 3191 Hever is verouderd en biedt geen ruimte voor uitbreiding. Vzw Katholiek Onderwijs Dijle Demer wil daarom een hele nieuwe school bouwen op dezelfde site. Daarom zal de huidige school afgebroken moeten worden, alsook de huidige parochiezaal. De nieuwe school mag gebouwd worden op beide percelen. De school zal een nieuwe zaal bouwen en die integreren in de school. We gaan er van uit dat we tijdens de werken een tijdelijke school moeten bouwen, maar andere opties met werken in fasen zijn ook welkom.","['Dienstverlening op het gebied van architectuur, bouwkunde, civiele techniek en inspectie']",ACTIVE,10975094-0483-4cc6-aafe-0a88d4ba847d
KODID-BUS-240627 - 1,"Dienstverlening op het gebied van architectuur, bouwkunde, civiele techniek en inspectie",2024-06-28T15:03:45.077986,NL,"Onze school De Bosuiltjes barst al jaren uit haar voegen. Om efficiënt met de beschikbare oppervlakte om te gaan willen we een aantal gebouwen afbreken en vervangen door nieuwbouw. Daarnaast kan de school beschikken over een extra perceel voor de uitbreiding. De opdracht bestaat erin om een plan en een ontwerp te maken om alle functies optimaal in te plannen, rekening houdend met de bestaande gebouwen en functies.","['Dienstverlening op het gebied van architectuur, bouwkunde, civiele techniek en inspectie']",ACTIVE,576d9488-06fd-450b-9d81-0dea41f83f66
KODID_HPL_240627 - 1,"Dienstverlening op het gebied van architectuur, bouwkunde en planning",2024-06-29T10:47:45.056803,NL,"Een van de twee schoolgebouwen op de schoolsite is verouderd. Dit gebouw omvat momenteel klassen en een parochiezaal. We willen het gebouw afbreken en een nieuwbouw optrekken met een aantal klassen, een turnzaal en een refter (polyvalente zaal) die ook kan dienen om na de schooluren aan de verenigingen ter beschikking te stellen.","['Dienstverlening op het gebied van architectuur, bouwkunde, civiele techniek en inspectie']",ACTIVE,6c9f200c-4a23-4660-a5c2-1c94f888ca5f
